comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version,intersection_fraction,n_peer_int,n_openeval_int,agree_bar_cat
CMP4,R9,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address claims C102, C108 regarding time-independence of K*. OpenEval finds these claims supported by mathematical framework (Equation 9) and Figure 4 showing time-dependence of traditional K_DKI. Peer reviewers find these claims unsupported, stating authors 'do not fully demonstrate' time-independence and noting that Tables 3-4 human data 'seem to show that D* and K* are time dependent,' identifying this as a study limitation.",2.0,3.0,2,elife-90465,v1,0.6666666666666666,3,2,Disagree
CMP5,R4,R3,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval R4 addresses claim C61 about noise obscuring convergence trends, finding it supported by Figure 4. Peer R3 addresses C61 along with C102, C108, but focuses critique on time-independence claims rather than the noise observation specifically, finding the time-independence claims unsupported based on Tables 3-4 data.",1.0,3.0,1,elife-90465,v1,0.3333333333333333,3,1,Disagree
CMP3,R13,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Major disagreement on main conclusions (C61, C66). OpenEval rates as SUPPORTED with caveat that 'causal link to clinical burden remains speculative.' Peer reviewers rate as UNSUPPORTED, explicitly stating 'these data don't allow a casual inference on the role of isdH in driving the emergence of USA300' and noting the mutation 'is still possible...just a marker of USA300 success.'",2.0,2.0,2,elife-90668,v1,1.0,2,2,Disagree
CMP3,R3,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C47-C54, C78, C97 regarding HIF's role in epicardial activation and EMT. OpenEval finds convergent genetic and pharmacological evidence supportive, while peer reviewers consider the evidence unsupported, stating 'EMT remains to be convincingly demonstrated' and noting 'lack of convincing evidence.' Major disagreement on sufficiency of EMT evidence.",10.0,10.0,10,elife-107419,v1,1.0,10,10,Disagree
CMP3,R5,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the same claims (C6, C47-C49) regarding LPS-induced inflammatory responses. OpenEval finds evidence SUPPORTED based on multiple complementary approaches (RNAseq, qRT-PCR, protein profiling) showing 50-800 fold responses. Peer reviewers rate it UNSUPPORTED, arguing that mature human microglia respond poorly to LPS alone and require IFNγ co-stimulation, suggesting the robust LPS response indicates cells are not truly mature microglia.",4.0,4.0,4,elife-90695,v1,1.0,4,4,Disagree
CMP5,R5,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Strong disagreement on model fit quality (C85-C88). OpenEval rates as SUPPORTED, noting the model replicated discrimination indices well with appropriate convergence criteria. Peer reviewers rate as UNSUPPORTED, explicitly challenging model fit and noting it misses key trends in the data, with concerns about overfitting.",12.0,4.0,4,elife-105347,v1,0.3333333333333333,4,12,Disagree
CMP17,R17,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval finds C127-C132 (transcriptional dynamics summary) SUPPORTED, noting C131-C132 are speculative but reasonable. Peer reviewers evaluate overlapping claims C127-C130, C153-C154 as UNSUPPORTED, explicitly challenging novelty and impact, stating the work 'does not advance the field in any sort of novel or useful way' and citing 'critical methodological flaws.'",6.0,6.0,4,elife-91528,v1,0.6666666666666666,6,6,Disagree
CMP22,R22,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval finds C3-C7, C153-C154 (high-level summary of contributions) SUPPORTED by collective evidence. Peer reviewers evaluate overlapping claims C153-C154 as UNSUPPORTED, stating the work has 'relatively low' impact and provides limited value 'beyond providing a review of previously published studies.'",7.0,6.0,2,elife-91528,v1,0.2857142857142857,6,7,Disagree
CMP5,R2,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Major disagreement on selector gene claims C4, C34. OpenEval finds these SUPPORTED by knockout experiments, while peer reviewers rate UNSUPPORTED, calling the selector gene interpretation 'speculative' and noting lack of evidence for clonal lineage compartment.",21.0,2.0,2,elife-96904,v1,0.09523809523809523,2,21,Disagree
CMP10,R11,R6,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval evaluates claims about improvements over prior work (C58) finding the methodological advancement accurately contrasted with prior models (SUPPORTED). Peer result R6 covers C58-C60, directly challenging claims of improvement, stating the strength relative to prior approaches is not well supported and the claim is incomplete (UNSUPPORTED). Strong disagreement on novelty and improvement claims.",1.0,3.0,1,elife-92562,v1,0.3333333333333333,3,1,Disagree
