comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version
CMP1,R2,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on claims C4, C40-C42 regarding cTBS-induced BOLD signal decreases during semantic tasks. Both evaluations find the evidence SUPPORTED with no methodological concerns raised.",4.0,4.0,4,elife-91771,v1
CMP2,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on claims C3, C36-C38 regarding cTBS-induced GABA increases. Both evaluations find the evidence SUPPORTED. OpenEval additionally references C34, C35, C39 for convergent evidence and control conditions.",7.0,5.0,4,elife-91771,v1
CMP3,R3,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on claims C5, C43-C44 regarding correlation between GABA and BOLD changes. Both find evidence SUPPORTED and acknowledge this as a novel contribution. Peer review also includes C6, C68 in this evaluation, recognizing the mechanistic link claim.",3.0,5.0,3,elife-91771,v1
CMP4,R6,R7,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Agreement on claims C31-C32, C57, C59-C60 regarding GABA-performance correlations as replication of prior work. Both find evidence SUPPORTED. OpenEval includes C7, C58 and notes correlational limitations; peer review includes C61 and emphasizes replication value.",7.0,6.0,5,elife-91771,v1
CMP5,R7,R4,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Disagreement on inverted-U relationship claims C9, C62-C64. OpenEval finds evidence SUPPORTED with cautious interpretation, while peer review rates UNCERTAIN, explicitly challenging data sufficiency and raising concerns about practice effects influencing Figure 4D.",5.0,6.0,4,elife-91771,v1
CMP6,R5,R5,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,Agreement on UNCERTAIN evaluation for responder/non-responder analysis (claims C51-C53). Both identify methodological concerns: OpenEval cites circular analysis and post-hoc categorization issues; peer review raises 'double dipping problem' that undermines statistical validity.,6.0,5.0,3,elife-91771,v1
CMP7,R4,R6,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,Partial disagreement on behavioral findings C48-C50. OpenEval finds evidence SUPPORTED despite marginally significant interaction; peer review rates UNCERTAIN due to practice effect concerns that complicate interpretation.,5.0,4.0,3,elife-91771,v1
CMP8,R8,R4,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,"Both address inverted-U model extension to plasticity (C65-C66). OpenEval rates UNCERTAIN due to circular analysis concerns in responder categorization; peer review also rates UNCERTAIN, challenging the inverted-U relationship itself as having incomplete support.",3.0,6.0,2,elife-91771,v1
CMP9,R11,R10,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,Agreement on UNCERTAIN evaluation for interpretive claims C10-C11 about individual variability explanations. Both note dependence on questionable inverted-U model; peer review emphasizes incomplete support for underlying relationship.,4.0,3.0,2,elife-91771,v1
CMP10,R12,R6,SUPPORTED,UNCERTAIN,MINOR,MAJOR,partial,"Divergent evaluations of practice effects (C45). OpenEval finds evidence SUPPORTED for task-specific effects; peer review incorporates this into broader UNCERTAIN evaluation, stating practice effect controls were insufficient.",1.0,4.0,1,elife-91771,v1
CMP11,R9,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both address mechanistic claims C6, C68 about GABA mediating cTBS effects. OpenEval rates SUPPORTED but notes correlational limitations on causality; peer review rates SUPPORTED and emphasizes novelty of the GABA-BOLD change correlation.",4.0,5.0,2,elife-91771,v1
CMP12,R5,R8,UNCERTAIN,UNCERTAIN,MAJOR,MINOR,agree,Both address group comparison claims C55-C56 between responders/non-responders. OpenEval rates overall responder analysis UNCERTAIN; peer review specifically questions validity of these group comparisons due to double dipping in the grouping methodology.,6.0,2.0,2,elife-91771,v1
CMP13,R1,R9,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,OpenEval includes control finding C39 (no Glx changes) as part of SUPPORTED evaluation showing specificity; peer review separately notes this negative control finding as SUPPORTED without challenge.,7.0,1.0,1,elife-91771,v1
CMP14,R11,R5,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,Both address explanatory framework claims C93-C94. OpenEval rates UNCERTAIN due to post-hoc responder categorization; peer review rates UNCERTAIN due to fundamental double dipping methodological concerns.,4.0,5.0,2,elife-91771,v1
