llm_result_id,peer_result_id,llm_status,peer_status,agreement_status,notes,n_llm,n_peer,n_itx,manuscript_id,intersection_fraction,n_peer_int,n_llm_int
R5,R5,Supported,Unsupported,Disagree,"LLM addresses cryo-EM structural data (C23-C32, C46, C91-C92, C97) finding it SUPPORTED. Peer R5 addresses vesicle homogeneity (C70), finding it UNSUPPORTED as an 'essential assumption' requiring 'convincing evidence' not currently provided. These address different aspects of the experimental system with no direct claim overlap.",14.0,1.0,0,elife-00109,0.0,1,14
R1,R4,Supported,Unsupported,Disagree,"Moderate overlap (46.7% Jaccard) on screening platform validation. LLM rates platform SUPPORTED based on technical metrics (CV, hit rate, controls). Peer reviewers rate UNSUPPORTED, explicitly critiquing that hits lacked subtype selectivity, making the screen unsuccessful for its stated goal of finding subtype-selective compounds. This is a fundamental disagreement about whether technical success equals scientific success.",11.0,11.0,7,elife-00508,0.6363636363636364,11,11
R12,R10,Supported,Unsupported,Disagree,"High overlap (C51, C52, C100, C123, C124) on main conclusions about Ybx1-mediated translational control. LLM finds totality of evidence strongly supports central thesis. Peer reviewers fundamentally challenge conclusions as 'too preliminary,' stating work 'will not go beyond the many other papers on Ybx1' without more direct mechanistic evidence and critical double mutant.",7.0,6.0,5,elife-00683,0.7142857142857143,6,7
R7,R2,Supported,Unsupported,Disagree,"Partial overlap (C80, C106, C108) on translational repression mechanism. LLM finds Co-IP and RNA-IP experiments with eIF4E provide strong evidence for proposed mechanism. Peer reviewers directly challenge, stating 'there is no convincing direct evidence in this manuscript that Ybx1 really does regulate squint mRNA translation' and note contradictory literature.",7.0,5.0,3,elife-00683,0.42857142857142855,5,7
R6,R2,Supported,Unsupported,Disagree,"Low overlap (C34, C107) on precocious Sqt-GFP translation. LLM finds Western blot data clearly show specific translational derepression at 16-cell stage. Peer reviewers fundamentally challenge translational repression mechanism, requesting 'evidence regarding the mechanism for how Ybx1 inhibits translation.'",4.0,5.0,2,elife-00683,0.4,5,4
R10,R7,Supported,Unsupported,Disagree,"Semantic overlap on noise-buffering model and exclusion of neural circuitry defects (C37, C53, C98-C104, C109-C112). LLM finds model 'well-supported' and mechanistically coherent. Peer reviewers explicitly challenge this in concern #3, proposing 'alternative hypothesis' that tra upregulation causes altered neural circuitry development/morphology, requesting anatomical analysis to rule out this alternative before accepting the model.",12.0,1.0,0,elife-00640,0.0,1,12
R5,R3,Supported,Unsupported,Disagree,1 shared claim (C41) on integrative findings. LLM finds 20-gene identification well-validated through multiple criteria. Peer reviewers' UNSUPPORTED rating for causality claims (R3) extends to questioning robustness of these gene identifications due to methodological issues with causal inference.,5.0,9.0,1,elife-00299,0.1111111111111111,9,5
R2,R5,Supported,Unsupported,Disagree,"Major disagreement on genetic diversity interpretation (C56-C60, C124). LLM views substantial within-patient diversity as supporting diverse genotype populations. Peer reviewers fundamentally challenge this, arguing variants are pre-existing standing variation, not arising during treatment, citing implausible mutation rates and same-day isolates differing by thousands of SNPs.",11.0,6.0,5,elife-00662,0.45454545454545453,6,11
R15,R5,Supported,Unsupported,Disagree,"Minimal overlap (C124 only). LLM R15 addresses C. albicans vs C. glabrata diversity comparison as SUPPORTED. Peer R5 challenges the fundamental premise that variants arose during treatment (standing variation argument), which undermines the evolutionary comparison framework.",13.0,6.0,1,elife-00662,0.07692307692307693,6,13
R9,R3,Unsupported,Supported,Disagree,"Strong overlap (C5, C95, C96) on inadequacy of adaptation-based models. LLM finds claims UNSUPPORTED due to lack of 'formal model simulations or quantitative predictions.' Peer reviewers SUPPORT by accepting temporal coherence as 'most appropriate model,' implicitly endorsing that adaptation models are insufficient. Disagreement reflects different evidentiary standards.",4.0,3.0,3,elife-00699,0.75,3,4
R4,R4,Supported,Unsupported,Disagree,"High claim overlap (C5, C50-C54; C49 only in LLM). LLM finds allele-specific expression analysis provides strong evidence that methylation doesn't drive ASE. Peer reviewers characterize this as 'a strong assertion, but also a negative result' and explicitly 'urge the authors to remove this result' unless additional support provided.",7.0,6.0,6,elife-00523,0.8571428571428571,6,7
R1,R4,Supported,Unsupported,Disagree,"LLM finds characterization of GsuK as a K+ channel 'well-supported.' Peer reviewers directly challenge this classification, stating 'if the currents...were recorded with 150 Na out and 150 K in, then the large inward current...would be carried entirely by Na. Most investigators would thus classify GsuK as a non-selective cation channel, and not a K+ channel.' Minimal claim overlap (1 shared claim: C26).",8.0,3.0,1,elife-00184,0.125,3,8
R6,R7,Unsupported,Supported,Disagree,"Low overlap (33% Jaccard) on therapeutic target claims (C12, C98). LLM finds therapeutic claims UNSUPPORTED due to lack of drug screening/validation data. Peer reviewers implicitly SUPPORT by not challenging these speculative claims and acknowledging significance of findings.",6.0,2.0,2,elife-00327,0.3333333333333333,2,6
R2,R4,Supported,Unsupported,Disagree,"Disagreement on characterization of Lethe as 'unique'. LLM supports the selective induction pattern by TNFα/IL-1β and dexamethasone. Peer reviewers explicitly state the 'unique' characterization is over-interpretation, though they don't dispute the actual experimental findings. Low overlap (16.7%) on claims C22, C83, C111.",17.0,4.0,3,elife-00762,0.17647058823529413,4,17
R5,R5,Unsupported,Supported,Disagree,"Minimal overlap (C51 only). LLM rates genetic experiments UNSUPPORTED due to confounding factors. Peer R5 rates identification of thioredoxin reductase as early target SUPPORTED, focusing on observational clustering rather than genetic perturbation. Disagreement reflects different claim scope.",8.0,4.0,1,elife-00306,0.125,4,8
R4,R2,Supported,Unsupported,Disagree,"Overlap on kinase-independent mechanism claims (C63, C64, C97). LLM accepts PrkdcSCID and inhibitor data as demonstrating kinase-independent scaffolding function. Peer reviewers explicitly challenge this, stating 'no evidence is provided' for the scaffold hypothesis and questioning the interpretation.",9.0,3.0,3,elife-00047,0.3333333333333333,3,9
R11,R4,Supported,Unsupported,Disagree,"High overlap (C6, C51-C54, C84, C95) on H2BE PTM differences. LLM finds converging evidence for reduced Lys5 methylation/acetylation sufficient despite acknowledging correlative nature. Peer reviewers explicitly recommend removing all PTM data as 'not very convincing' and 'preliminary or inconclusive.'",8.0,8.0,7,elife-00070,0.875,8,8
R5,R2,Unsupported,Supported,Disagree,"Both assess efficiency quantification (C28, C29, C30). LLM finds the data UNSUPPORTED due to lack of statistical rigor, error bars, and replicates. Peer reviewers accept the efficiency data as SUPPORTED, acknowledging the reported range and comparison to ZFNs/TALENs without critique.",3.0,3.0,3,elife-00471,1.0,3,3
R1,R4,Supported,Unsupported,Disagree,"LLM accepts controls ruling out Rin and membrane potential changes (C31-C33) as adequate. Peer reviewers reject this, stating authors 'are not convinced' because average data may mask single-cell correlations, and nonlinear spike generation means small Rin/depolarization changes are 'just as good as a candidate' as EPSP changes.",13.0,3.0,3,elife-00012,0.23076923076923078,3,13
R2,R3,Supported,Unsupported,Disagree,"High overlap on C33, C59, C60, C62, C63, C114 (55% Jaccard). LLM finds APP can independently activate MuSK and induce AChR clustering. Peer reviewers state this is UNSUPPORTED because C2C12 cells express muscle agrin, confounding the interpretation of agrin-independence.",10.0,7.0,6,elife-00220,0.6,7,10
R8,R7,Supported,Unsupported,Disagree,"Moderate overlap on C46, C47, C49 (43% Jaccard). LLM finds Lrp4ECD/ECD mice demonstrate membrane anchoring is required for postnatal maturation. Peer reviewers call this a 'misinterpretation' (UNSUPPORTED) because many maturation events were normal, including synapse elimination and subunit switching.",6.0,4.0,3,elife-00220,0.5,4,6
R7,R7,Supported,Unsupported,Disagree,"Low overlap on C48 only (13% Jaccard). LLM groups C48 with other claims about Lrp4ΔICD mice having normal NMJs. Peer R7 focuses on the interpretation that membrane anchoring is required for postnatal maturation, which they find UNSUPPORTED.",5.0,4.0,1,elife-00220,0.2,4,5
R7,R6,Supported,Unsupported,Disagree,Major disagreement on H2AK119ub1 findings. LLM accepts global reduction and locus-specific effects as supporting KDM2B's role. Reviewers find locus-specific loss 'not impressive' (~20%) and argue this challenges functional importance at derepressed genes.,6.0,3.0,3,elife-00205,0.5,3,6
R3,R3,Supported,Unsupported,Disagree,"Both address five-module classification (C22, C97-C99). LLM finds k=5 conservative and validated. Peer reviewers directly challenge this, stating 'by eye it is clear from Figures 3 and 4 that there are more than five expression patterns' and criticizing that the approach 'does not provide a lot of resolution.' Peer review also includes module characterization claims (C33-C35) that LLM groups separately.",10.0,7.0,4,elife-00603,0.4,7,10
R5,R3,Supported,Unsupported,Disagree,"Partial overlap on module characterization (C33-C35). LLM finds module descriptions well-supported by data. Peer reviewers challenge the entire five-module framework, questioning 'what do these module groupings really reflect?' LLM also includes stability metrics (C39-C41) that peer review addresses separately in R5.",6.0,7.0,3,elife-00603,0.42857142857142855,7,6
R9,R3,Supported,Unsupported,Disagree,"Moderate overlap on gene expression levels and species differences (C94-C95, C97-C99). LLM finds lower fold-induction (20-80x) still sufficient based on functional assays. Peer reviewers directly challenge this, stating levels are 'modest' and 'not convincing' compared to 100-1000x in established iPSCs, requesting more convincing data.",8.0,8.0,5,elife-00036,0.625,8,8
R1,R3,Supported,Unsupported,Disagree,"Small overlap on endogenous pluripotency gene induction (C28, C30). LLM finds induction of endogenous genes supportive. Peer reviewers find qPCR evidence unsupported, stating upregulation levels are 'quite low' and 'not convincing' compared to established iPSCs.",15.0,8.0,2,elife-00036,0.13333333333333333,8,15
R18,R4,Supported,Unsupported,Disagree,"Minimal overlap (C68) on GLV chemical modification by herbivore oral secretions. LLM accepts the claim as supported. Peer reviewers identify a technical error, stating the process is a 'rearrangement, not an isomerisation' and require correction of the chemical description.",13.0,1.0,1,elife-00007,0.07692307692307693,1,13
R5,R3,Supported,Unsupported,Disagree,"LLM supports claim that recombination is unaffected (C49). Peer reviewers directly challenge this, stating 'FigureS1E shows that recombination is not normal' with earlier timing and lower levels, calling it 'a contradiction that needs to be addressed.'",4.0,1.0,1,elife-00117,0.25,1,4
R1,R1,Supported,Unsupported,Disagree,"Fundamental disagreement on interpretation. LLM R1 finds Notch pathway requirement for vm2 target selection well-supported (C1 shared, plus C13-C17, C28-C30, C32-C38). Peer R1 explicitly challenges synapse specificity interpretation (C1, C6, C23, C69, C108-C110), stating data do not address synaptic function and requesting substantial revision to focus on muscle arm formation rather than synaptic specificity claims.",17.0,7.0,1,elife-00378,0.058823529411764705,7,17
R9,R6,Supported,Unsupported,Disagree,"Both evaluate regional quiescence hierarchy claims. LLM finds systematic analysis of spatial patterns provides strong evidence that head/neck activity determines whole-animal behavior. Reviewers explicitly challenge this, stating 'hierarchy implies control' which 'cannot be concluded from mere observation that anterior segments are more active.'",6.0,6.0,6,elife-00782,1.0,6,6
R2,R3,Supported,Unsupported,Disagree,"Both address ATP-dependent pattern formation (C12, C13, C72). LLM finds claims SUPPORTED based on robust demonstration (94% of n=45 experiments). Peer reviewers rate UNSUPPORTED, challenging the use of ~3 µM ATP as non-physiological 'near rigor conditions' versus physiological mM concentrations. Major disagreement on whether low ATP conditions validate the mechanism.",7.0,6.0,3,elife-00116,0.42857142857142855,6,7
R8,R5,Supported,Unsupported,Disagree,"Both address myosin processivity at low ATP (C56, C57). LLM finds claims SUPPORTED based on well-documented experimental evidence. Peer reviewers rate UNSUPPORTED, challenging the choice of muscle myosin II as 'specialized' and requiring experiments with non-muscle myosin II at physiological ATP concentrations.",3.0,4.0,2,elife-00116,0.5,4,3
R4,R3,Supported,Unsupported,Disagree,"Minimal overlap on single-molecule behavior (C22). LLM finds claims SUPPORTED based on correlation between velocity fluctuations and fluorescence. Peer reviewers rate UNSUPPORTED, challenging the ATP concentration as non-physiological. Disagreement on experimental condition validity.",9.0,6.0,1,elife-00116,0.1111111111111111,6,9
R4,R2,Supported,Unsupported,Disagree,"Minimal overlap on single-molecule experiments (C23). LLM finds claims SUPPORTED with quantitative demonstration. Peer reviewers rate UNSUPPORTED, characterizing the mechanism as artifact of rigor conditions. Fundamental disagreement on mechanism validity.",9.0,8.0,1,elife-00116,0.1111111111111111,8,9
R7,R3,Supported,Unsupported,Disagree,"Minimal overlap on mechanistic requirements (C52). LLM finds claims SUPPORTED based on connection between low ATP and processivity. Peer reviewers rate UNSUPPORTED, challenging the ATP concentration as non-physiological. Disagreement on experimental condition validity.",5.0,6.0,1,elife-00116,0.16666666666666666,6,5
R1,R5,Supported,Unsupported,Disagree,"Minimal overlap on MAC system characterization (C10, C99). LLM finds claims SUPPORTED with strong methodological foundation. Peer reviewers rate UNSUPPORTED, challenging the choice of muscle myosin II as specialized. Disagreement on appropriateness of experimental system.",11.0,4.0,2,elife-00116,0.18181818181818182,4,11
