openeval_result_id,peer_result_id,openeval_status,peer_status,agreement_status,comparison,n_openeval,n_peer,n_itx,manuscript_id,intersection_fraction,n_peer_int,n_openeval_int
R8,R1,Supported,Unsupported,Disagree,"Both evaluate PVRL4 genomic amplification claims (C9, C36). OpenEval accepts the database analysis and published citations as supporting amplification. Peer reviewers explicitly challenge this, noting the cited database 'does not distinguish high-level amplification from single copy gain' and that Oncomine data shows no cases with HER2-level amplification, concluding copy number evidence does not strongly support PVRL4 as a driver oncogene.",5.0,2.0,2,elife-00358,0.4,2,5
R7,R8,Supported,Unsupported,Disagree,"Both evaluate claims C59-C62 regarding quantitative data from complexin experiments. OpenEval finds the large sample sizes across multiple experiments sufficient. Peer reviewers explicitly reject the data quantity as insufficient, stating the histograms are 'very noisy' with 'several time bins with no occurrences' and 'must include a greater number of entries to be convincing.'",8.0,4.0,4,elife-00109,0.5,4,8
R16,R12,Supported,Unsupported,Disagree,"Both evaluate the proposed mechanistic model (C57-C60, plus C72 in OpenEval and C61 in peer review). OpenEval finds the model well-supported by multiple lines of evidence including TRAF6, NF-κB, and IL-6 data. Peer reviewers explicitly criticize the model as 'highly speculative,' emphasizing the distinction between tested claims and speculation.",5.0,5.0,4,elife-00537,0.8,5,5
R6,R5,Supported,Unsupported,Disagree,"Strong disagreement on chymase as biomarker (C6-C7, C87-C92, C106, C143-C144). OpenEval supports clinical validation with appropriate controls and statistical significance. Peer reviewers explicitly reject this as 'too early and too much of an over-interpretation,' citing multiple analytical problems: improper data presentation, inadequate statistical methods, and missing supporting clinical parameters.",11.0,17.0,11,elife-00481,0.6470588235294118,17,11
R8,R5,Supported,Unsupported,Disagree,Both address serotype effects on chymase (C93-C94). OpenEval supports statistical significance but notes minimal biological importance (2.6% variance). This is grouped within Peer R5's broader rejection of the biomarker claims due to analytical limitations in the clinical data presentation.,2.0,17.0,2,elife-00481,0.11764705882352941,17,2
R9,R5,Supported,Unsupported,Disagree,Both address infection history effects on chymase (C95-C96). OpenEval supports the statistical evidence for differential effects by disease severity. This falls within Peer R5's comprehensive rejection of the biomarker analysis due to methodological concerns about data presentation and statistical approaches.,2.0,17.0,2,elife-00481,0.11764705882352941,17,2
R10,R5,Supported,Unsupported,Disagree,"Both address chymase-viremia correlations (C97-C98, C108). OpenEval supports the reported correlations but appropriately notes correlation doesn't establish causation. This is encompassed in Peer R5's rejection of biomarker claims, which criticizes the overall analytical approach and calls for additional supporting clinical data.",3.0,17.0,2,elife-00481,0.11764705882352941,17,3
R2,R6,Supported,Unsupported,Disagree,"Disagreement on terminology for vascular pathology (C3). OpenEval R2 includes C3 in supported vascular leakage claims. Peer R6 explicitly rejects the interchangeable use of 'vascular leakage' and 'hemorrhage,' requiring correction throughout including in the title, clarifying the findings indicate plasma leakage not hemorrhage.",13.0,2.0,1,elife-00481,0.07692307692307693,2,13
R14,R5,Supported,Unsupported,Disagree,"OpenEval R14 addresses DENV-specificity of chymase elevation (C135, C138) with appropriate negative controls, finding this supported. However, these claims are part of the broader clinical biomarker analysis that Peer R5 comprehensively rejects due to analytical and methodological limitations.",2.0,17.0,0,elife-00481,0.0,17,2
R1,R9,Supported,Unsupported,Disagree,"Strong disagreement on claim C7 regarding Q2linker utility. OpenEval finds the 2-plex design adequate for the demonstrated applications. Peer Reviewer 1 explicitly challenges this, stating only 2-condition comparison is insufficient and that Q5linker would be needed for comprehensive quantitative studies, viewing current form as falling short of potential.",4.0,1.0,1,elife-99809,0.25,1,4
R7,R4,Supported,Unsupported,Disagree,"Both address causal modeling (C64-C66). OpenEval finds the permutation-based causal framework methodologically sound with appropriate extensions. Peer reviewers explicitly reject causality claims, stating QQ plot enrichment (C25) shows correlation not causation, and that the indirect residual-based approach is insufficient—direct causal models are needed.",5.0,4.0,3,elife-00299,0.6,4,5
R5,R4,Supported,Unsupported,Disagree,"OpenEval finds Q-Q plot deviation (C25) supports enrichment of true associations in the integrative analysis. Peer reviewers explicitly state that QQ plot enrichment does not provide evidence of causality, only correlation, challenging the interpretation of this evidence.",5.0,4.0,1,elife-00299,0.2,4,5
R2,R2,Supported,Unsupported,Disagree,"Both address model comparison and validation (C51-C53). OpenEval finds the MM model superiority adequately demonstrated through comparable fits but better interpretability. Peer reviewers directly challenged this, stating the MM model 'appears to fit just as well (or badly) as the log-linear model' and noting 'no attempt to show that the log-linear model is a worse fit,' finding the statistical justification insufficient.",6.0,3.0,3,elife-00051,0.5,3,6
R6,R5,Supported,Unsupported,Disagree,"Both evaluate HIV/smoking analysis (C6, C21-C25, C30, C76). OpenEval finds the statistical analysis appropriate with quantified contributions and confidence intervals. Peer reviewers explicitly challenged this, stating the influence 'is not incorporated into the model in a systematic way' and recommending systematic inclusion of multiple mortality causes with variable selection, indicating the conclusion is inadequately supported.",11.0,8.0,8,elife-00051,0.7272727272727273,8,11
R8,R9,Unsupported,Supported,Disagree,"Both address mechanistic hypotheses (C62, C75, C78, C79). OpenEval classifies these as UNSUPPORTED because they are explicitly stated as hypotheses without direct experimental validation. Peer reviewers classified as SUPPORTED, accepting them as reasonable hypotheses based on data, with Reviewer 3 noting they clarify mechanisms. Disagreement stems from whether speculative but reasonable hypotheses should be considered 'supported.'",4.0,4.0,2,elife-99849,0.5,4,4
R18,R4,Supported,Unsupported,Disagree,"Both address claim C56 about no gastrulation phenotype in Fn mutants. OpenEval categorizes this as established literature knowledge appropriately supported by citations. Peer reviewers directly challenge this, stating the authors' own data showing Cer1 expansion contradicts this claim and constitutes a gastrulation phenotype.",23.0,1.0,1,elife-00806,0.043478260869565216,1,23
