comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version,intersection_fraction,n_peer_int,n_openeval_int,agree_bar_cat
CMP16,R11,,Unsupported,Not reviewed,MINOR,,Disjoint,OpenEval identifies C99 as unsupported due to 'data not shown' statement. No corresponding peer review evaluation found; peer reviewers did not flag this as a concern.,1.0,,0,elife-95267,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP16,R12,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval evaluates claim C46 about broad applicability as UNSUPPORTED, noting it's a speculative generalization without evidence beyond neuronal reconstruction. No corresponding peer review evaluation found.",1.0,,0,elife-102840,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP20,,R3,Not reviewed,Unsupported,,MAJOR,Disjoint,"Peer reviewers evaluate physiological relevance and interpretation (C4, C32, C67-C68) as UNSUPPORTED, requiring disease model validation and questioning relevance of cell body measurements. OpenEval addresses some overlapping claims (C32, C67-C68) in other results but does not directly evaluate claim C4.",,4.0,0,elife-96848,v1,0.0,4,0,Disjoint:PeerOnly
CMP17,R16,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval rates DNA transposon circularization vs reintegration speculation (C53) as UNSUPPORTED, noting purely speculative nature without experimental evidence. No corresponding peer review evaluation found for this specific mechanistic hypothesis.",1.0,,0,elife-87115,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP18,R17,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval rates potential eccDNA functions (C125-C128) as UNSUPPORTED, identifying these as speculative future directions not investigated in the study. No corresponding peer review evaluation found addressing these functional speculation claims.",4.0,,0,elife-87115,v1,0.0,0,4,Disjoint:OpenEvalOnly
CMP22,R17,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval rates UNSUPPORTED for mechanistic model (C171-C172) proposing cilia-driven fluid movement based on analogy to renal function, noting this is entirely speculative without experimental validation. No corresponding peer review evaluation specifically addresses this mechanistic hypothesis.",2.0,,0,elife-96662,v1,0.0,0,2,Disjoint:OpenEvalOnly
CMP15,R13,,Unsupported,Not reviewed,MINOR,,Disjoint,OpenEval marks PUMA enhancement mechanism (C127) as unsupported speculation requiring validation of p21-independent pathways. No corresponding peer review evaluation addresses this specific mechanistic speculation.,1.0,,0,elife-106469,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP16,R14,,Unsupported,Not reviewed,MINOR,,Disjoint,OpenEval marks autophagy and ER stress claims (C143-C145) as unsupported speculation lacking experimental validation. No corresponding peer review evaluation addresses these specific mechanistic hypotheses.,3.0,,0,elife-106469,v1,0.0,0,3,Disjoint:OpenEvalOnly
CMP17,R15,,Unsupported,Not reviewed,MINOR,,Disjoint,OpenEval marks conformational change and NLS masking claims (C148-C149) as unsupported speculation requiring conformational studies and nuclear import assays. No corresponding peer review evaluation addresses these specific mechanistic hypotheses.,2.0,,0,elife-106469,v1,0.0,0,2,Disjoint:OpenEvalOnly
CMP28,,R10,Not reviewed,Unsupported,,MAJOR,Disjoint,"Peer R10 includes claim C10 in evaluation of rescue experiments, which is not explicitly evaluated in OpenEval R10. This appears to be a contextual claim.",,7.0,0,elife-95229,v1,0.0,7,0,Disjoint:PeerOnly
CMP16,,R9,Not reviewed,Unsupported,,MINOR,Disjoint,"Peer reviewers explicitly challenge claims about breakthrough applications for gregarious feeding simulation (C145), stating 'There is no explanation for how this work could be a breakthrough.' No corresponding OpenEval result addresses this specific claim.",,1.0,0,elife-90211,v1,0.0,1,0,Disjoint:PeerOnly
CMP13,R12,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval identified S170F efficiency >200% as UNSUPPORTED (C50), noting impossible value suggests quantification error. No corresponding peer review evaluation found; this specific discrepancy was not addressed by reviewers despite being acknowledged by authors.",1.0,,0,elife-102274,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP10,,R4,Not reviewed,Unsupported,,MAJOR,Disjoint,"Peer reviewers explicitly reject the justification for applying bacterial models to yeast (C53), citing contradictory experimental evidence in yeast deletion mutants. OpenEval evaluated C53 as part of R6 and found it supported, but peer reviewers provide specific experimental counterevidence.",,1.0,0,elife-105265,v1,0.0,1,0,Disjoint:PeerOnly
CMP15,R15,,Unsupported,Not reviewed,MAJOR,,Disjoint,"OpenEval identifies internal contradiction in claim C6 ('unpredictable' adaptation patterns contradicts repeatability claims C32, C70) and marks as unsupported. No corresponding peer review evaluation found addressing this specific inconsistency.",1.0,,0,elife-89330,v1,0.0,0,1,Disjoint:OpenEvalOnly
CMP16,R15,,Unsupported,Not reviewed,MINOR,,Disjoint,"OpenEval identifies a factual error about Naloxone mechanism (C37), noting it is a competitive antagonist not an irreversible blocker. No corresponding peer review evaluation found addressing this technical inaccuracy.",1.0,,0,elife-91359,v1,0.0,0,1,Disjoint:OpenEvalOnly
