openeval_result_id,peer_result_id,openeval_status,peer_status,agreement_status,comparison,n_openeval,n_peer,n_itx,manuscript_id,intersection_fraction,n_peer_int,n_openeval_int
R18,,Unsupported,Not reviewed,Disjoint,"OpenEval finds therapeutic speculation (C11) unsupported by current data, appropriately noting it represents future direction without disease model validation. No corresponding peer review evaluation found.",1.0,,0,elife-00508,0.0,0,1
R12,,Unsupported,Not reviewed,Disjoint,"OpenEval identifies speculative claims about toxicity mechanism (C30, C62, C123-C126) as unsupported. No corresponding peer review evaluation found addressing these specific mechanistic speculations.",6.0,,0,elife-00459,0.0,0,6
R15,,Unsupported,Not reviewed,Disjoint,"OpenEval identifies broader implications and future applications (C135-C138, C143, C152) as unsupported speculation. No corresponding peer review evaluation found addressing these extrapolations.",6.0,,0,elife-00459,0.0,0,6
R16,,Unsupported,Not reviewed,Disjoint,OpenEval identifies mammalian ARRDC speculation (C150-C151) as unsupported. No corresponding peer review evaluation found for these translational hypotheses.,2.0,,0,elife-00459,0.0,0,2
R9,,Unsupported,Not reviewed,Disjoint,"OpenEval identifies explicitly speculative claims about Elba2-Insv interactions and NAC protein functions (C105-C113) as unsupported, requiring experimental validation. No corresponding peer review evaluation found for these speculative hypotheses.",9.0,,0,elife-00171,0.0,0,9
R2,,Unsupported,Not reviewed,Disjoint,"OpenEval identified failed qRT-PCR validation (C28) as unsupported, representing a discrepancy between RNA-seq and gold-standard validation. No corresponding peer review evaluation found addressing this specific validation failure.",1.0,,0,elife-00762,0.0,0,1
,R8,Not reviewed,Unsupported,Disjoint,"Peer reviewers challenge characterization of Her3-Her2 heterodimers as 'particularly robust' (C67-C68), stating no evidence supports exceptional affinity. OpenEval does not have a corresponding evaluation of these specific claims.",,2.0,0,elife-00708,0.0,2,0
R22,,Unsupported,Not reviewed,Disjoint,"OpenEval evaluates future predictions about viral evolution (C109-C110) as UNSUPPORTED, noting these are speculative predictions extending beyond the data without accounting for immune evolution or other factors. No corresponding peer review evaluation found.",2.0,,0,elife-99833,0.0,0,2
R9,,Unsupported,Not reviewed,Disjoint,OpenEval finds claims C45-C49 about multiplexing capability unsupported as they represent untested future directions. No corresponding peer review evaluation addresses these multiplexing proposals.,5.0,,0,elife-00471,0.0,0,5
,R10,Not reviewed,Unsupported,Disjoint,"Peer reviewers explicitly challenged the assumption about PRC1 binding automatically compacting chromatin (C24), stating this is 'misguided' given bivalent sites in ES cells. No corresponding OpenEval evaluation found for this claim.",,1.0,0,elife-00205,0.0,1,0
R14,,Unsupported,Not reviewed,Disjoint,"OpenEval evaluates highly speculative claims about CREB3L1 expression across cancers and drug development implications (C89-C91). No corresponding peer review evaluation found. OpenEval finds no supporting data on expression patterns, mutation frequency, or therapeutic benefit.",3.0,,0,elife-00090,0.0,0,3
