paper_id	claim_importance	evidence_strength
elife-100000	Important	Solid
elife-100002	Valuable	Convincing
elife-100011	Important	Compelling
elife-100037	Valuable	Convincing
elife-100041	Important	Solid
elife-100060	Important	Convincing
elife-100064	Useful	Solid
elife-100066	Valuable	Solid
elife-100071	Valuable	Solid
elife-100083	Fundamental	Compelling
elife-100085	Important	Convincing
elife-100086	Important	Convincing
elife-100088	Important	Solid
elife-100098	Important	Convincing
elife-100123	Fundamental	Convincing
elife-100144	Valuable	Incomplete
elife-100152	Important	Compelling
elife-100162	Important	Convincing
elife-100173	Important	Compelling
elife-100192	Valuable	Solid
elife-100193	Useful	Solid
elife-100196	Important	Convincing
elife-100197	Important	Compelling
elife-100202	Valuable	Solid
elife-100205	Valuable	Incomplete
elife-100217	Important	Convincing
elife-100218	Valuable	Convincing
elife-100248	Important	Compelling
elife-100254	Important	Compelling
elife-100256	Important	Convincing
elife-100257	Important	Convincing
elife-100258	Important	Convincing
elife-100260	Valuable	Convincing
elife-100268	Important	Incomplete
elife-100280	Fundamental	Compelling
elife-100282	Important	Incomplete
elife-100284	Important	Convincing
elife-100287	Important	Compelling
elife-100292	Important	Compelling
elife-100328	Important	Convincing
elife-100335	Important	Compelling
elife-100337	Valuable	Convincing
elife-100346	Useful	Incomplete
elife-100350	Fundamental	Compelling
elife-100376	Important	Convincing
elife-100390	Important	Convincing
elife-100393	Useful	Solid
elife-100394	Important	Solid
elife-100406	Important	Convincing
elife-100424	Fundamental	Compelling
elife-100427	Fundamental	Convincing
elife-100433	Useful	Incomplete
elife-100446	Valuable	Incomplete
elife-100448	Fundamental	Compelling
elife-100449	Important	Compelling
elife-100455	Valuable	Solid
elife-100478	Important	Compelling
elife-100488	Valuable	Compelling
elife-100490	Fundamental	Compelling
elife-100492	Important	Convincing
elife-100497	Important	Convincing
elife-100525	Important	Convincing
elife-100527	Important	Convincing
elife-100530	Fundamental	Compelling
elife-100532	Important	Convincing
elife-100535	Valuable	Solid
elife-100541	Important	Convincing
elife-100545	Important	Convincing
elife-100569	Fundamental	Compelling
elife-100570	Valuable	Convincing
elife-100574	Important	Convincing
elife-100581	Important	Convincing
elife-100601	Important	Solid
elife-100604	Fundamental	Convincing
elife-100605	Important	Compelling
elife-100611	Important	Convincing
elife-100652	Valuable	Convincing
elife-100664	Valuable	Solid
elife-100665	Valuable	Convincing
elife-100666	Important	Convincing
elife-100673	Valuable	Compelling
elife-100687	Important	Solid
elife-100705	Important	Convincing
elife-100708	Valuable	Solid
elife-100722	Fundamental	Compelling
elife-100730	Useful	Solid
elife-100731	Important	Solid
elife-100734	Valuable	Solid
elife-100735	Valuable	Solid
elife-100737	Useful	Incomplete
elife-100739	Important	Solid
elife-100747	Fundamental	Compelling
elife-100749	Valuable	Solid
elife-100764	Valuable	Convincing
elife-100767	Valuable	Solid
elife-100768	Fundamental	Convincing
elife-100785	Valuable	Convincing
elife-100788	Valuable	Convincing
elife-100796	Valuable	Convincing
elife-100797	Important	Convincing
elife-100799	Important	Convincing
Incomplete
elife-100820	Important	Convincing
elife-100821	Important	Compelling
elife-100822	Valuable	Convincing
elife-100830	Important	Convincing
elife-100840	Important	Compelling
elife-100849	Valuable	Solid
elife-100854	Valuable	Solid
elife-100856	Valuable	Solid
elife-100870	Important	Solid
elife-100885	Important	Convincing
elife-100887	Valuable	Solid
elife-100890	Valuable	Solid
elife-100904	Important	Convincing
elife-100914	Useful	Incomplete
elife-100918	Important	Convincing
elife-100922	Important	Convincing
elife-100923	Useful	Solid
elife-100928	Important	Solid
elife-100937	Useful	Solid
elife-100941	Important	Compelling
elife-100947	Valuable	Convincing
elife-100949	Important	Solid
elife-100961	Fundamental	Compelling
elife-100968	Useful	Solid
elife-100981	Important	Solid
elife-100987	Important	Convincing
elife-100988	Valuable	Solid
elife-100989	Important	Compelling
elife-100990	Important	Compelling
elife-100996	Fundamental	Compelling
elife-101011	Valuable	Convincing
elife-101035	Important	Compelling
elife-101036	Important	Convincing
elife-101043	Important	Compelling
elife-101069	Important	Convincing
elife-101071	Valuable	Solid
elife-101075	Valuable	Convincing
elife-101080	Important	Convincing
elife-101101	Valuable	Solid
elife-101103	Important	Solid
elife-101105	Important	Convincing
elife-101113	Valuable	Solid
elife-101114	Fundamental	Solid
elife-101125	Important	Convincing
elife-101127	Important	Convincing
elife-101128	Valuable	Solid
elife-101136	Valuable	Convincing
elife-101137	Important	Solid
elife-101142	Important	Convincing
elife-101143	Useful	Solid
elife-101151	Valuable	Solid
elife-101153	Valuable	Solid
elife-101157	Important	Convincing
elife-101163	Valuable	Incomplete
elife-101170	Important	Compelling
elife-101173	Important	Convincing
elife-101175	Fundamental	Compelling
elife-101186	Useful	Solid
elife-101197	Valuable	Incomplete
elife-101198	Valuable	Compelling
elife-101217	Important	Convincing
elife-101221	Important	Incomplete
elife-101236	Useful	Solid
elife-101241	Important	Convincing
elife-101244	Important	Solid
elife-101248	Valuable	Solid
elife-101269	Important	Convincing
elife-101299	Important	Convincing
Incomplete
elife-101302	Important	Convincing
elife-101322	Valuable	Solid
elife-101325	Valuable	Solid
elife-101327	Important	Compelling
elife-101338	Valuable	Solid
elife-101369	Valuable	Convincing
elife-101371	Important	Convincing
elife-101388	Important	Compelling
elife-101391	Valuable	Solid
elife-101401	Important	Convincing
elife-101413	Important	Convincing
elife-101420	Valuable	Convincing
elife-101428	Useful	Solid
elife-101439	Useful	Solid
elife-101440	Important	Convincing
elife-101483	Important	Convincing
elife-101506	Useful	Solid
elife-101511	Valuable	Convincing
elife-101526	Valuable	Convincing
elife-101531	Valuable	Solid
elife-101559	Important	Compelling
elife-101578	Important	Convincing
elife-101579	Valuable	Convincing
elife-101583	Important	Convincing
elife-101604	Valuable	Solid
elife-101606	Fundamental	Compelling
elife-101626	Important	Convincing
elife-101629	Valuable	Solid
elife-101630	Useful	Solid
elife-101642	Useful	Incomplete
elife-101667	Important	Convincing
elife-101670	Important	Convincing
elife-101688	Valuable	Incomplete
elife-101701	Useful	Incomplete
elife-101714	Valuable	Convincing
elife-101717	Valuable	Solid
elife-101724	Fundamental	Compelling
elife-101727	Important	Compelling
elife-101731	Important	Convincing
elife-101733	Important	Compelling
elife-101736	Important	Solid
elife-101747	Fundamental	Compelling
elife-101757	Valuable	Solid
elife-101760	Useful	Incomplete
elife-101769	Valuable	Convincing
elife-101779	Important	Convincing
elife-101780	Important	Compelling
elife-101802	Important	Convincing
elife-101814	Important	Compelling
elife-101825	Important	Convincing
elife-101830	Valuable	Incomplete
elife-101841	Important	Compelling
elife-101850	Useful	Solid
elife-101851	Important	Convincing
elife-101882	Important	Convincing
elife-101885	Valuable	Convincing
elife-101886	Important	Compelling
elife-101887	Useful	Solid
elife-101888	Valuable	Convincing
elife-101894	Important	Compelling
elife-101912	Important	Convincing
Solid
elife-101918	Important	Compelling
elife-101923	Useful	Incomplete
elife-101924	Important	Convincing
elife-101929	Important	Convincing
elife-101932	Valuable	Convincing
elife-101938	Important	Compelling
elife-101943	Fundamental	Compelling
elife-101944	Valuable	Compelling
Solid
elife-101950	Valuable	Convincing
elife-101959	Valuable	Solid
elife-101965	Important	Convincing
elife-101967	Useful	Solid
elife-101973	Important	Convincing
elife-101980	Useful	Compelling
Incomplete
elife-101984	Important	Convincing
elife-101990	Important	Convincing
elife-101992	Important	Convincing
elife-102001	Valuable	Convincing
elife-102002	Important	Convincing
elife-102019	Important	Compelling
Solid
elife-102027	Important	Convincing
elife-102068	Important	Convincing
elife-102097	Useful	Solid
elife-102151	Important	Convincing
elife-102166	Important	Convincing
elife-102184	Important	Convincing
elife-102205	Valuable	Solid
elife-102222	Important	Solid
elife-102226	Valuable	Convincing
